country,price,points
Argentina,25,87
Armenia,15,88
Australia,35,89
Austria,31,90
Bosnia and Herzegovina,13,87
Brazil,24,85
Bulgaria,15,88
Canada,36,89
Chile,21,86
China,18,89
Croatia,25,87
Cyprus,16,87
Czech Republic,24,87
Egypt,,84
England,52,92
France,41,89
Georgia,19,88
Germany,42,90
Greece,22,87
Hungary,41,89
India,13,90
Israel,32,88
Italy,40,89
Lebanon,31,88
Luxembourg,23,89
Macedonia,16,87
Mexico,27,85
Moldova,17,87
Morocco,20,89
New Zealand,27,88
Peru,18,84
Portugal,26,88
Romania,15,86
Serbia,25,88
Slovakia,16,87
Slovenia,25,88
South Africa,25,88
Spain,28,87
Switzerland,85,89
Turkey,25,88
US,37,89
Ukraine,9,84
Uruguay,26,87
