country,price,points
Switzerland,85.29,89
England,51.68,92
Germany,42.26,90
France,41.14,89
Hungary,40.65,89
Italy,39.66,89
US,36.57,89
Canada,35.71,89
Australia,35.44,89
Israel,31.77,88
Austria,30.76,90
Lebanon,30.69,88
Spain,28.22,87
New Zealand,26.93,88
Mexico,26.79,85
Uruguay,26.40,87
Portugal,26.22,88
Croatia,25.45,87
Slovenia,24.81,88
South Africa,24.67,88
Turkey,24.63,88
Argentina,24.51,87
Serbia,24.50,88
Czech Republic,24.25,87
Brazil,23.77,85
Luxembourg,23.33,89
Greece,22.36,87
Chile,20.79,86
Morocco,19.50,89
Georgia,19.32,88
Peru,18.06,84
China,18.00,89
Moldova,16.75,87
Cyprus,16.27,87
Slovakia,16.00,87
Macedonia,15.58,87
Romania,15.24,86
Bulgaria,14.65,88
Armenia,14.50,88
India,13.33,90
Bosnia and Herzegovina,12.50,87
Ukraine,9.21,84
Egypt,0.00,84
